threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.4,1.0,3.0,20,149,38.92617449664429,-2483.360142114242,-1.4078291180537026,0.013780211233729077,57.71812080536913,11.409395973154362,30.87248322147651,-3600.1483001571114
0.4,1.5,1.5,10,149,42.281879194630875,-1625.0530277571556,-1.4361985986116477,0.009046769867753355,29.53020134228188,17.449664429530202,53.02013422818792,-1807.1842820143017
0.5,1.5,2.5,30,95,35.78947368421053,-1529.8355253143,-1.5114107637972627,-0.004239384823842309,51.578947368421055,17.894736842105264,30.526315789473685,-2763.0459029928697
0.6,1.5,1.5,60,66,42.42424242424242,-628.677453392861,-1.5232710010801014,0.03299599048764275,51.515151515151516,33.33333333333333,15.151515151515152,-1631.4494226785757
0.6,1.5,3.0,20,66,39.39393939393939,-1080.0689264642929,-1.6491158102528063,-0.003017180819467657,42.42424242424242,7.575757575757576,48.484848484848484,-2121.589314678581
0.4,1.5,1.5,20,149,46.97986577181208,-2142.574529085713,-1.6840307401220407,-0.010426411310010049,42.95302013422819,20.80536912751678,36.241610738255034,-2310.5289832285684
0.4,1.5,2.0,30,149,38.25503355704698,-2544.7576524857122,-1.688190356108112,-0.024251412166020326,49.664429530201346,18.79194630872483,31.543624161073826,-2984.2648316785744
0.6,2.0,2.0,30,66,37.878787878787875,-934.5592225142786,-1.6933514917839338,-0.010511203848886708,37.878787878787875,16.666666666666664,45.45454545454545,-1740.9810125142778
0.4,1.0,2.5,20,149,39.59731543624161,-2786.249093314254,-1.7335759635487795,-0.0016163107146338915,57.04697986577181,14.76510067114094,28.187919463087248,-3556.555286435691
0.4,1.0,3.0,10,149,34.899328859060404,-2717.6641562642694,-1.7428095391547653,0.0007538539754049687,48.322147651006716,9.395973154362416,42.281879194630875,-2967.804054449994
0.4,2.0,1.5,30,149,41.61073825503356,-2266.782995292848,-1.8614597103797448,-0.03106747135450597,36.91275167785235,20.13422818791946,42.95302013422819,-2266.7829952928473
