signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,hour
2025-07-31 13:32:00,2025-07-31 13:33:00,2025-07-31 13:38:00,MAS,LONG,6662,71.7,72.5,5329.599999999981,46.634,238.83270000000002,5044.133299999981,13
2025-07-31 13:30:00,2025-07-31 13:31:00,2025-07-31 13:36:00,ORCL,SHORT,260,255.89,255.01,228.79999999999882,1.82,33.265699999999995,193.71429999999884,13
2025-08-01 13:30:00,2025-08-01 13:31:00,2025-08-01 13:36:00,COIN,LONG,47,330.58,325.9699,-216.67469999999946,0.7,7.768629999999999,-225.14332999999945,13
2025-08-01 13:35:00,2025-08-01 13:36:00,2025-08-01 13:41:00,EMN,SHORT,301,63.33,60.4,881.93,2.107,9.531165,870.291835,13
2025-08-01 13:30:00,2025-08-01 13:31:00,2025-08-01 13:36:00,MS,SHORT,491,137.75,137.26,240.59000000000447,3.4370000000000003,33.817625,203.33537500000446,13
2025-08-01 14:30:00,2025-08-01 14:31:00,2025-08-01 14:36:00,NVDA,SHORT,95,175.33,175.855,-49.87499999999784,0.7,8.328175000000002,-58.903174999997844,14
2025-08-01 14:31:00,2025-08-01 14:32:00,2025-08-01 14:37:00,NVDA,SHORT,92,175.48,175.945,-42.780000000000314,0.7,8.07208,-51.552080000000316,14
2025-08-01 14:32:00,2025-08-01 14:33:00,2025-08-01 14:38:00,NVDA,SHORT,90,175.56,175.795,-21.14999999999867,0.7,7.9002,-29.75019999999867,14
2025-08-01 14:33:00,2025-08-01 14:34:00,2025-08-01 14:39:00,NVDA,SHORT,87,175.64,175.5482,7.986599999998077,0.7,7.640339999999999,-0.3537400000019222,14
2025-08-01 14:34:00,2025-08-01 14:35:00,2025-08-01 14:40:00,NVDA,SHORT,84,175.5255,175.2618,22.150800000000004,0.7,7.372071,14.078729000000004,14
2025-08-01 13:30:00,2025-08-01 13:31:00,2025-08-01 13:36:00,RCL,SHORT,209,307.915,306.08,383.5150000000076,1.463,32.1771175,349.8748825000076,13
2025-08-01 13:31:00,2025-08-01 13:32:00,2025-08-01 13:37:00,RCL,SHORT,203,305.55,306.415,-175.59500000000185,1.421,31.013325000000002,-208.02932500000185,13
2025-08-04 13:30:00,2025-08-04 13:31:00,2025-08-04 13:36:00,USO,SHORT,2224,75.54,75.55,-22.239999999979773,15.568,84.00048000000001,-121.80847999997978,13
2025-08-04 13:31:00,2025-08-04 13:32:00,2025-08-04 13:37:00,USO,SHORT,1737,75.62,75.6,34.74000000001777,12.159,65.67597,-43.09496999998223,13
2025-08-04 13:32:00,2025-08-04 13:33:00,2025-08-04 13:38:00,USO,SHORT,1904,75.64,75.62,38.079999999992424,13.328,72.00928,-47.25728000000758,13
2025-08-04 13:33:00,2025-08-04 13:34:00,2025-08-04 13:39:00,USO,LONG,2390,75.55,75.64,215.10000000000815,16.73,90.28225,108.08775000000816,13
2025-08-05 13:30:00,2025-08-05 13:31:00,2025-08-05 13:36:00,AWK,SHORT,376,142.63,142.355,103.40000000000214,2.632,26.814439999999998,73.95356000000214,13
2025-08-05 13:31:00,2025-08-05 13:32:00,2025-08-05 13:37:00,AWK,SHORT,400,142.53,142.04,196.00000000000364,2.8000000000000003,28.506,164.69400000000363,13
2025-08-05 13:32:00,2025-08-05 13:33:00,2025-08-05 13:38:00,AWK,SHORT,384,142.53,141.985,209.2799999999952,2.688,27.36576,179.22623999999522,13
2025-08-05 13:30:00,2025-08-05 13:32:00,2025-08-05 13:37:00,EQR,SHORT,3702,63.29,63.675,-1425.2699999999927,25.914,117.14979,-1568.3337899999926,13
2025-08-05 13:30:00,2025-08-05 13:31:00,2025-08-05 13:36:00,SPG,SHORT,469,160.765,161.94,-551.0750000000053,3.283,37.699392499999995,-592.0573925000053,13
2025-08-07 13:54:00,2025-08-07 13:55:00,2025-08-07 14:00:00,AMD,SHORT,99,170.74,171.57,-82.16999999999842,0.7,8.451630000000002,-91.32162999999844,13
2025-08-07 14:07:00,2025-08-07 14:08:00,2025-08-07 14:13:00,AMD,SHORT,49,171.62,171.71,-4.410000000000167,0.7,4.20469,-9.314690000000168,14
2025-08-07 14:08:00,2025-08-07 14:09:00,2025-08-07 14:14:00,AMD,SHORT,48,171.2799,171.6045,-15.580800000000181,0.7,4.1107176,-20.39151760000018,14
2025-08-07 13:30:00,2025-08-07 13:31:00,2025-08-07 13:36:00,SW,SHORT,2101,43.685,43.61,157.57500000000596,14.707,45.8910925,96.97690750000596,13
2025-08-08 14:41:00,2025-08-08 14:42:00,2025-08-08 14:47:00,TTD,SHORT,143,54.56,54.525,5.005000000000528,1.0010000000000001,3.90104,0.10296000000052796,14
2025-08-12 13:46:00,2025-08-12 13:47:00,2025-08-12 13:52:00,CAH,SHORT,105,143.055,142.58,49.8749999999994,0.735,7.510387500000001,41.6296124999994,13
2025-08-12 13:47:00,2025-08-12 13:48:00,2025-08-12 13:53:00,CAH,SHORT,101,143.065,142.455,61.60999999999851,0.707,7.224782500000001,53.6782174999985,13
2025-08-12 13:48:00,2025-08-12 13:49:00,2025-08-12 13:54:00,CAH,SHORT,98,142.4,142.345,5.3900000000006685,0.7,6.977600000000001,-2.2875999999993324,13
2025-08-12 13:30:00,2025-08-12 13:31:00,2025-08-12 13:36:00,CMG,SHORT,2345,42.8488,42.835,32.36099999999123,16.415,50.24021799999999,-34.29421800000876,13
2025-08-13 14:17:00,2025-08-13 14:18:00,2025-08-13 14:23:00,AMD,SHORT,47,186.46,185.97,23.030000000000427,0.7,4.381810000000001,17.948190000000427,14
2025-08-13 13:30:00,2025-08-13 13:31:00,2025-08-13 13:36:00,CF,LONG,118,84.37,84.39,2.3599999999995305,0.8260000000000001,4.97783,-3.4438300000004696,13
2025-08-14 14:08:00,2025-08-14 14:09:00,2025-08-14 14:14:00,CSCO,SHORT,74,70.125,70.335,-15.539999999999537,0.7,2.594625,-18.834624999999537,14
2025-08-14 13:32:00,2025-08-14 13:33:00,2025-08-14 13:38:00,WSM,SHORT,260,205.325,205.78,-118.30000000000325,1.82,26.69225,-146.81225000000325,13
2025-08-14 14:08:00,2025-08-14 14:09:00,2025-08-14 14:14:00,WSM,LONG,465,204.65,203.9,-348.75,3.255,47.581125,-399.586125,14
2025-08-14 14:09:00,2025-08-14 14:10:00,2025-08-14 14:15:00,WSM,LONG,476,204.565,203.905,-314.1599999999984,3.332,48.68647,-366.17846999999836,14
2025-08-15 13:30:00,2025-08-15 13:32:00,2025-08-15 13:37:00,HUM,SHORT,34,286.91,286.045,29.41000000000031,0.7,4.877470000000001,23.83253000000031,13
2025-08-15 13:30:00,2025-08-15 13:31:00,2025-08-15 13:36:00,MOH,SHORT,1294,166.0,166.53,-685.8200000000015,9.058,107.402,-802.2800000000016,13
2025-08-15 13:31:00,2025-08-15 13:32:00,2025-08-15 13:37:00,MOH,SHORT,343,166.4,166.04,123.48000000000468,2.4010000000000002,28.5376,92.54140000000469,13
2025-08-18 15:18:00,2025-08-18 15:19:00,2025-08-18 15:24:00,INTC,SHORT,4021,24.1201,24.255,-542.432899999993,28.147000000000002,48.49346105,-619.073361049993,15
2025-08-25 13:32:00,2025-08-25 13:33:00,2025-08-25 13:38:00,LYB,SHORT,1085,57.16,56.97,206.14999999999753,7.595,31.0093,167.54569999999754,13
2025-09-02 13:30:00,2025-09-02 13:31:00,2025-09-02 13:36:00,RCL,SHORT,401,353.76,354.575,-326.8149999999991,2.807,70.92888,-400.5508799999991,13
2025-09-05 13:30:00,2025-09-05 13:31:00,2025-09-05 13:36:00,LULU,LONG,129,167.48,169.095,208.33500000000117,0.903,10.80246,196.62954000000119,13
